"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,31437,2,60,1448,12962,13248
2,31437,2,60,1820,19274,16632
3,31437,2,60,1547,15292,14106
4,31437,2,60,1279,11566,11701
5,31437,2,60,1543,14873,14107
6,31437,2,60,1879,15895,17222
7,31437,2,60,1281,11618,11785
8,31437,2,60,1282,11585,11765
9,31437,2,60,1937,20213,17660
10,31437,2,60,1622,14401,14883
11,31437,2,60,1781,15965,16193
12,31437,2,60,1202,10662,11082
13,31437,2,60,1472,14902,13449
14,31437,2,60,1536,16194,13988
15,31437,2,60,1475,13937,13554
16,31437,2,60,1736,15308,15834
17,31437,2,60,1417,15415,12938
18,31437,2,60,1641,15795,15020
19,31437,2,60,1429,12263,13069
20,31437,2,60,1348,12227,12384
21,31437,2,60,1399,14183,12859
22,31437,2,60,1372,12919,12651
23,31437,2,60,1083,10650,9926
24,31437,2,60,1159,10305,10721
25,31437,2,60,1174,13801,10767
26,31437,2,60,1348,12006,12356
27,31437,2,60,1583,13818,14516
28,31437,2,60,1719,14212,15775
29,31437,2,60,1700,15938,15531
30,31437,2,60,1283,11221,11796
31,31437,2,60,1677,17013,15371
32,31437,2,60,1557,13276,14288
33,31437,2,60,1637,14423,14924
34,31437,2,60,1388,12559,12632
35,31437,2,60,1300,13399,11966
36,31437,2,60,2318,18570,21145
37,31437,2,60,1581,15613,14520
38,31437,2,60,1115,10524,10171
39,31437,2,60,1341,12499,12243
40,31437,2,60,1167,11198,10780
41,31437,2,60,1440,13315,13183
42,31437,2,60,1525,13344,13904
43,31437,2,60,1205,10887,11090
44,31437,2,60,1198,12447,10998
45,31437,2,60,1849,17041,16903
46,31437,2,60,1779,17061,16290
47,31437,2,60,1149,10077,10590
48,31437,2,60,1233,12328,11234
49,31437,2,60,1615,14122,14747
50,31437,2,60,1550,13846,14084
51,31437,2,60,1182,12379,10926
52,31437,2,60,1820,17699,16572
53,31437,2,60,1484,12937,13542
54,31437,2,60,1420,13092,13098
55,31437,2,60,1546,13834,14133
56,31437,2,60,1714,14185,15652
57,31437,2,60,1409,12427,12880
58,31437,2,60,1609,13990,14641
59,31437,2,60,1506,14037,13767
60,31437,2,60,1304,11625,11998
61,31437,2,60,1283,12479,11813
62,31437,2,60,1173,15409,10779
63,31437,2,60,1579,14760,14374
64,31437,2,60,1325,12125,12168
65,31437,2,60,1605,15221,14728
66,31437,2,60,1996,16461,18124
67,31437,2,60,1881,17094,17168
68,31437,2,60,1395,13067,12738
69,31437,2,60,1416,14351,13039
70,31437,2,60,1321,11292,12139
71,31437,2,60,1984,20227,18136
72,31437,2,60,1465,13049,13497
73,31437,2,60,1528,13711,13908
74,31437,2,60,1207,10878,11072
75,31437,2,60,2272,21154,20651
76,31437,2,60,1621,13916,14835
