"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,31437,2,20,1448,12962,12999
2,31437,2,20,1820,19274,16404
3,31437,2,20,1547,15292,13903
4,31437,2,20,1279,11566,11450
5,31437,2,20,1543,14873,13895
6,31437,2,20,1879,15895,16908
7,31437,2,20,1281,11618,11529
8,31437,2,20,1282,11585,11561
9,31437,2,20,1937,20213,17347
10,31437,2,20,1622,14401,14650
11,31437,2,20,1781,15965,15996
12,31437,2,20,1202,10662,10860
13,31437,2,20,1472,14902,13319
14,31437,2,20,1536,16194,13745
15,31437,2,20,1475,13937,13254
16,31437,2,20,1736,15308,15587
17,31437,2,20,1417,15415,12691
18,31437,2,20,1641,15795,14713
19,31437,2,20,1429,12263,12851
20,31437,2,20,1348,12227,12153
21,31437,2,20,1399,14183,12592
22,31437,2,20,1372,12919,12383
23,31437,2,20,1083,10650,9632
24,31437,2,20,1159,10305,10559
25,31437,2,20,1174,13801,10565
26,31437,2,20,1348,12006,12050
27,31437,2,20,1583,13818,14272
28,31437,2,20,1719,14212,15472
29,31437,2,20,1700,15938,15286
30,31437,2,20,1283,11221,11536
31,31437,2,20,1677,17013,15100
32,31437,2,20,1557,13276,14048
33,31437,2,20,1637,14423,14679
34,31437,2,20,1388,12559,12513
35,31437,2,20,1300,13399,11684
36,31437,2,20,2318,18570,20906
37,31437,2,20,1581,15613,14282
38,31437,2,20,1115,10524,9994
39,31437,2,20,1341,12499,12073
40,31437,2,20,1167,11198,10554
41,31437,2,20,1440,13315,13061
42,31437,2,20,1525,13344,13694
43,31437,2,20,1205,10887,10950
44,31437,2,20,1198,12447,10800
45,31437,2,20,1849,17041,16641
46,31437,2,20,1779,17061,16090
47,31437,2,20,1149,10077,10365
48,31437,2,20,1233,12328,11124
49,31437,2,20,1615,14122,14523
50,31437,2,20,1550,13846,14008
51,31437,2,20,1182,12379,10634
52,31437,2,20,1820,17699,16403
53,31437,2,20,1484,12937,13307
54,31437,2,20,1420,13092,12768
55,31437,2,20,1546,13834,13823
56,31437,2,20,1714,14185,15536
57,31437,2,20,1409,12427,12667
58,31437,2,20,1609,13990,14574
59,31437,2,20,1506,14037,13530
60,31437,2,20,1304,11625,11804
61,31437,2,20,1283,12479,11670
62,31437,2,20,1173,15409,10560
63,31437,2,20,1579,14760,14207
64,31437,2,20,1325,12125,11958
65,31437,2,20,1605,15221,14452
66,31437,2,20,1996,16461,17946
67,31437,2,20,1881,17094,16910
68,31437,2,20,1395,13067,12630
69,31437,2,20,1416,14351,12781
70,31437,2,20,1321,11292,11955
