"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,31437,1,60,1448,12962,13507
2,31437,1,60,1820,19274,16720
3,31437,1,60,1547,15292,14302
4,31437,1,60,1279,11566,12022
5,31437,1,60,1543,14873,14239
6,31437,1,60,1879,15895,17256
7,31437,1,60,1281,11618,11924
8,31437,1,60,1282,11585,11946
9,31437,1,60,1937,20213,17829
10,31437,1,60,1622,14401,14970
11,31437,1,60,1781,15965,16457
12,31437,1,60,1202,10662,11182
13,31437,1,60,1472,14902,13656
14,31437,1,60,1536,16194,14271
15,31437,1,60,1475,13937,13658
16,31437,1,60,1736,15308,15962
17,31437,1,60,1417,15415,13155
18,31437,1,60,1641,15795,15199
19,31437,1,60,1429,12263,13245
20,31437,1,60,1348,12227,12658
21,31437,1,60,1399,14183,13008
22,31437,1,60,1372,12919,12719
23,31437,1,60,1083,10650,10081
24,31437,1,60,1159,10305,10802
25,31437,1,60,1174,13801,10945
26,31437,1,60,1348,12006,12547
27,31437,1,60,1583,13818,14610
28,31437,1,60,1719,14212,15908
29,31437,1,60,1700,15938,15700
30,31437,1,60,1283,11221,12041
31,31437,1,60,1677,17013,15577
32,31437,1,60,1557,13276,14421
33,31437,1,60,1637,14423,15164
34,31437,1,60,1388,12559,12856
35,31437,1,60,1300,13399,12063
36,31437,1,60,2318,18570,21352
37,31437,1,60,1581,15613,14552
38,31437,1,60,1115,10524,10487
39,31437,1,60,1341,12499,12447
40,31437,1,60,1167,11198,10836
41,31437,1,60,1440,13315,13389
42,31437,1,60,1525,13344,14215
43,31437,1,60,1205,10887,11267
44,31437,1,60,1198,12447,11239
45,31437,1,60,1849,17041,17094
46,31437,1,60,1779,17061,16438
47,31437,1,60,1149,10077,10731
48,31437,1,60,1233,12328,11642
49,31437,1,60,1615,14122,14880
50,31437,1,60,1550,13846,14395
51,31437,1,60,1182,12379,11052
52,31437,1,60,1820,17699,16824
53,31437,1,60,1484,12937,13679
54,31437,1,60,1420,13092,13189
55,31437,1,60,1546,13834,14438
56,31437,1,60,1714,14185,15875
57,31437,1,60,1409,12427,13139
58,31437,1,60,1609,13990,14809
59,31437,1,60,1506,14037,13886
60,31437,1,60,1304,11625,12162
61,31437,1,60,1283,12479,12016
62,31437,1,60,1173,15409,10899
63,31437,1,60,1579,14760,14607
64,31437,1,60,1325,12125,12412
65,31437,1,60,1605,15221,14918
66,31437,1,60,1996,16461,18322
67,31437,1,60,1881,17094,17360
68,31437,1,60,1395,13067,12986
69,31437,1,60,1416,14351,13194
70,31437,1,60,1321,11292,12395
71,31437,1,60,1984,20227,18244
72,31437,1,60,1465,13049,13611
73,31437,1,60,1528,13711,14146
74,31437,1,60,1207,10878,11324
75,31437,1,60,2272,21154,20831
76,31437,1,60,1621,13916,15100
77,31437,1,60,1491,14224,13833
78,31437,1,60,1714,17726,15785
79,31437,1,60,1227,11306,11464
80,31437,1,60,1517,12852,14062
81,31437,1,60,1474,14194,13700
82,31437,1,60,1334,16077,12407
83,31437,1,60,1327,11297,12392
84,31437,1,60,1611,14947,15047
85,31437,1,60,1464,13677,13583
86,31437,1,60,1651,15618,15293
87,31437,1,60,2186,19564,20049
88,31437,1,60,1396,12933,12990
89,31437,1,60,1485,12855,13840
90,31437,1,60,1564,16846,14554
91,31437,1,60,1698,15513,15685
92,31437,1,60,1952,17579,17987
93,31437,1,60,1280,12082,12042
94,31437,1,60,1571,14634,14457
95,31437,1,60,1330,14469,12339
96,31437,1,60,1578,15228,14633
97,31437,1,60,1226,10677,11420
98,31437,1,60,1579,14994,14624
99,31437,1,60,1514,12854,14146
100,31437,1,60,1516,12991,14024
101,31437,1,60,1524,14101,14238
102,31437,1,60,1314,10833,12198
103,31437,1,60,1466,12394,13641
104,31437,1,60,1757,15317,16187
105,31437,1,60,1418,12651,13146
106,31437,1,60,1345,13559,12545
107,31437,1,60,1344,13278,12516
108,31437,1,60,1280,11566,11908
109,31437,1,60,1875,15956,17255
110,31437,1,60,1442,12888,13359
111,31437,1,60,1424,12884,13253
112,31437,1,60,1655,15551,15305
113,31437,1,60,1755,15197,16185
114,31437,1,60,1529,14586,14208
115,31437,1,60,1286,13219,12004
116,31437,1,60,1627,13945,15102
117,31437,1,60,1701,15575,15748
118,31437,1,60,1556,13872,14472
119,31437,1,60,1515,12386,14015
120,31437,1,60,1367,14351,12762
121,31437,1,60,1999,18228,18388
122,31437,1,60,1463,13444,13578
123,31437,1,60,1506,13659,14078
124,31437,1,60,1343,12165,12527
125,31437,1,60,1456,14169,13523
126,31437,1,60,1264,11484,11773
127,31437,1,60,1217,11426,11385
128,31437,1,60,1549,15556,14310
129,31437,1,60,1640,17009,15176
130,31437,1,60,1534,13600,14216
131,31437,1,60,1816,15399,16751
132,31437,1,60,1919,21213,17754
133,31437,1,60,1724,15879,15898
134,31437,1,60,1669,14968,15449
135,31437,1,60,1339,21514,12502
136,31437,1,60,1188,10661,11168
137,31437,1,60,1701,16266,15732
138,31437,1,60,1424,12485,13330
139,31437,1,60,1762,14947,16287
140,31437,1,60,1675,16241,15498
141,31437,1,60,1850,16865,17093
142,31437,1,60,1629,14696,15189
143,31437,1,60,1048,9539,9951
144,31437,1,60,1307,10932,12198
145,31437,1,60,1262,12148,11756
146,31437,1,60,1863,18794,17135
147,31437,1,60,1846,16692,17024
148,31437,1,60,1680,15856,15550
149,31437,1,60,1539,14072,14297
150,31437,1,60,1397,12856,12942
151,31437,1,60,1265,11227,11860
152,31437,1,60,1456,12854,13450
153,31437,1,60,1388,12547,12867
154,31437,1,60,1839,17574,16981
155,31437,1,60,1388,11974,12836
156,31437,1,60,1282,12337,12001
157,31437,1,60,1426,12546,13322
158,31437,1,60,1397,12250,13135
159,31437,1,60,1894,19148,17495
160,31437,1,60,1688,16427,15661
161,31437,1,60,1703,18389,15774
162,31437,1,60,1428,13707,13305
163,31437,1,60,1640,15667,15156
164,31437,1,60,1954,20894,17956
165,31437,1,60,1431,13289,13331
166,31437,1,60,1988,17728,18370
167,31437,1,60,1881,16209,17372
168,31437,1,60,2062,20467,19031
169,31437,1,60,1549,14385,14377
