"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,31437,1,20,1448,12962,13263
2,31437,1,20,1820,19274,16593
3,31437,1,20,1547,15292,14124
4,31437,1,20,1279,11566,11771
5,31437,1,20,1543,14873,14043
6,31437,1,20,1879,15895,17087
7,31437,1,20,1281,11618,11701
8,31437,1,20,1282,11585,11731
9,31437,1,20,1937,20213,17650
10,31437,1,20,1622,14401,14848
11,31437,1,20,1781,15965,16259
12,31437,1,20,1202,10662,11015
13,31437,1,20,1472,14902,13392
14,31437,1,20,1536,16194,14048
15,31437,1,20,1475,13937,13509
16,31437,1,20,1736,15308,15861
17,31437,1,20,1417,15415,13010
18,31437,1,20,1641,15795,14975
19,31437,1,20,1429,12263,13002
20,31437,1,20,1348,12227,12280
21,31437,1,20,1399,14183,12789
22,31437,1,20,1372,12919,12585
23,31437,1,20,1083,10650,9958
24,31437,1,20,1159,10305,10596
25,31437,1,20,1174,13801,10683
26,31437,1,20,1348,12006,12330
27,31437,1,20,1583,13818,14473
28,31437,1,20,1719,14212,15646
29,31437,1,20,1700,15938,15529
30,31437,1,20,1283,11221,11705
31,31437,1,20,1677,17013,15329
32,31437,1,20,1557,13276,14190
33,31437,1,20,1637,14423,15040
34,31437,1,20,1388,12559,12617
35,31437,1,20,1300,13399,11835
36,31437,1,20,2318,18570,21072
37,31437,1,20,1581,15613,14342
38,31437,1,20,1115,10524,10223
39,31437,1,20,1341,12499,12236
40,31437,1,20,1167,11198,10696
41,31437,1,20,1440,13315,13174
42,31437,1,20,1525,13344,13975
43,31437,1,20,1205,10887,11033
44,31437,1,20,1198,12447,11033
45,31437,1,20,1849,17041,16835
46,31437,1,20,1779,17061,16189
47,31437,1,20,1149,10077,10477
48,31437,1,20,1233,12328,11307
49,31437,1,20,1615,14122,14710
50,31437,1,20,1550,13846,14093
51,31437,1,20,1182,12379,10784
52,31437,1,20,1820,17699,16583
53,31437,1,20,1484,12937,13589
54,31437,1,20,1420,13092,12915
55,31437,1,20,1546,13834,14169
56,31437,1,20,1714,14185,15633
57,31437,1,20,1409,12427,12888
58,31437,1,20,1609,13990,14584
59,31437,1,20,1506,14037,13783
60,31437,1,20,1304,11625,11879
61,31437,1,20,1283,12479,11677
62,31437,1,20,1173,15409,10776
63,31437,1,20,1579,14760,14365
64,31437,1,20,1325,12125,12076
65,31437,1,20,1605,15221,14680
66,31437,1,20,1996,16461,18178
67,31437,1,20,1881,17094,17179
68,31437,1,20,1395,13067,12730
69,31437,1,20,1416,14351,12921
70,31437,1,20,1321,11292,12130
71,31437,1,20,1984,20227,18106
72,31437,1,20,1465,13049,13337
73,31437,1,20,1528,13711,13911
74,31437,1,20,1207,10878,11110
75,31437,1,20,2272,21154,20676
76,31437,1,20,1621,13916,14760
77,31437,1,20,1491,14224,13729
78,31437,1,20,1714,17726,15546
79,31437,1,20,1227,11306,11199
80,31437,1,20,1517,12852,13881
81,31437,1,20,1474,14194,13529
82,31437,1,20,1334,16077,12226
83,31437,1,20,1327,11297,12170
84,31437,1,20,1611,14947,14683
85,31437,1,20,1464,13677,13376
86,31437,1,20,1651,15618,15022
87,31437,1,20,2186,19564,19894
88,31437,1,20,1396,12933,12724
89,31437,1,20,1485,12855,13582
90,31437,1,20,1564,16846,14257
91,31437,1,20,1698,15513,15469
92,31437,1,20,1952,17579,17814
93,31437,1,20,1280,12082,11659
94,31437,1,20,1571,14634,14292
95,31437,1,20,1330,14469,12157
96,31437,1,20,1578,15228,14462
97,31437,1,20,1226,10677,11254
98,31437,1,20,1579,14994,14428
99,31437,1,20,1514,12854,13668
100,31437,1,20,1516,12991,13891
101,31437,1,20,1524,14101,13983
102,31437,1,20,1314,10833,12026
103,31437,1,20,1466,12394,13375
104,31437,1,20,1757,15317,15993
105,31437,1,20,1418,12651,12965
106,31437,1,20,1345,13559,12332
107,31437,1,20,1344,13278,12272
108,31437,1,20,1280,11566,11776
109,31437,1,20,1875,15956,17092
110,31437,1,20,1442,12888,13103
111,31437,1,20,1424,12884,13053
112,31437,1,20,1655,15551,15066
113,31437,1,20,1755,15197,16001
114,31437,1,20,1529,14586,14068
115,31437,1,20,1286,13219,11732
116,31437,1,20,1627,13945,14763
117,31437,1,20,1701,15575,15523
118,31437,1,20,1556,13872,14186
119,31437,1,20,1515,12386,13819
120,31437,1,20,1367,14351,12495
121,31437,1,20,1999,18228,18159
122,31437,1,20,1463,13444,13374
123,31437,1,20,1506,13659,13732
124,31437,1,20,1343,12165,12259
125,31437,1,20,1456,14169,13239
126,31437,1,20,1264,11484,11506
127,31437,1,20,1217,11426,11080
128,31437,1,20,1549,15556,14165
129,31437,1,20,1640,17009,14937
130,31437,1,20,1534,13600,14048
131,31437,1,20,1816,15399,16604
132,31437,1,20,1919,21213,17564
133,31437,1,20,1724,15879,15660
134,31437,1,20,1669,14968,15285
135,31437,1,20,1339,21514,12282
136,31437,1,20,1188,10661,10917
137,31437,1,20,1701,16266,15475
138,31437,1,20,1424,12485,13027
139,31437,1,20,1762,14947,16048
140,31437,1,20,1675,16241,15334
141,31437,1,20,1850,16865,16837
142,31437,1,20,1629,14696,14808
143,31437,1,20,1048,9539,9603
144,31437,1,20,1307,10932,11903
145,31437,1,20,1262,12148,11571
146,31437,1,20,1863,18794,16971
147,31437,1,20,1846,16692,16750
148,31437,1,20,1680,15856,15307
149,31437,1,20,1539,14072,13962
150,31437,1,20,1397,12856,12788
151,31437,1,20,1265,11227,11542
152,31437,1,20,1456,12854,13326
153,31437,1,20,1388,12547,12656
154,31437,1,20,1839,17574,16694
155,31437,1,20,1388,11974,12825
156,31437,1,20,1282,12337,11753
157,31437,1,20,1426,12546,13070
158,31437,1,20,1397,12250,12782
159,31437,1,20,1894,19148,17294
160,31437,1,20,1688,16427,15375
161,31437,1,20,1703,18389,15489
162,31437,1,20,1428,13707,13122
163,31437,1,20,1640,15667,14982
164,31437,1,20,1954,20894,17735
165,31437,1,20,1431,13289,13068
166,31437,1,20,1988,17728,18165
167,31437,1,20,1881,16209,17145
168,31437,1,20,2062,20467,18757
169,31437,1,20,1549,14385,14164
170,31437,1,20,2029,21233,18425
171,31437,1,20,1639,15670,14953
172,31437,1,20,1468,13202,13340
173,31437,1,20,1302,11476,11946
