"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,3,2,60,1448,12962,13010
2,3,2,60,1820,19274,16380
3,3,2,60,1547,15292,13883
4,3,2,60,1279,11566,11456
5,3,2,60,1543,14873,13887
6,3,2,60,1879,15895,16767
7,3,2,60,1281,11618,11520
8,3,2,60,1282,11585,11557
9,3,2,60,1937,20213,17458
10,3,2,60,1622,14401,14480
11,3,2,60,1781,15965,15898
12,3,2,60,1202,10662,10728
13,3,2,60,1472,14902,13278
14,3,2,60,1536,16194,13801
15,3,2,60,1475,13937,13219
16,3,2,60,1736,15308,15550
17,3,2,60,1417,15415,12717
18,3,2,60,1641,15795,14818
19,3,2,60,1429,12263,12784
20,3,2,60,1348,12227,12172
21,3,2,60,1399,14183,12558
22,3,2,60,1372,12919,12318
23,3,2,60,1083,10650,9797
24,3,2,60,1159,10305,10318
25,3,2,60,1174,13801,10484
26,3,2,60,1348,12006,12077
27,3,2,60,1583,13818,14302
28,3,2,60,1719,14212,15356
29,3,2,60,1700,15938,15225
30,3,2,60,1283,11221,11584
31,3,2,60,1677,17013,15077
32,3,2,60,1557,13276,14085
33,3,2,60,1637,14423,14698
34,3,2,60,1388,12559,12505
35,3,2,60,1300,13399,11627
36,3,2,60,2318,18570,20893
37,3,2,60,1581,15613,14227
38,3,2,60,1115,10524,10054
39,3,2,60,1341,12499,12058
40,3,2,60,1167,11198,10504
41,3,2,60,1440,13315,12916
42,3,2,60,1525,13344,13612
43,3,2,60,1205,10887,10775
44,3,2,60,1198,12447,10680
45,3,2,60,1849,17041,16605
46,3,2,60,1779,17061,15982
47,3,2,60,1149,10077,10199
48,3,2,60,1233,12328,10964
49,3,2,60,1615,14122,14494
50,3,2,60,1550,13846,13866
51,3,2,60,1182,12379,10577
52,3,2,60,1820,17699,16330
53,3,2,60,1484,12937,13373
54,3,2,60,1420,13092,12758
55,3,2,60,1546,13834,13825
56,3,2,60,1714,14185,15383
57,3,2,60,1409,12427,12635
58,3,2,60,1609,13990,14506
59,3,2,60,1506,14037,13529
60,3,2,60,1304,11625,11621
61,3,2,60,1283,12479,11473
62,3,2,60,1173,15409,10476
63,3,2,60,1579,14760,14148
64,3,2,60,1325,12125,11865
65,3,2,60,1605,15221,14411
66,3,2,60,1996,16461,17916
