"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,3,2,20,1448,12962,12882
2,3,2,20,1820,19274,16129
3,3,2,20,1547,15292,13698
4,3,2,20,1279,11566,11294
5,3,2,20,1543,14873,13608
6,3,2,20,1879,15895,16636
7,3,2,20,1281,11618,11205
8,3,2,20,1282,11585,11315
9,3,2,20,1937,20213,17206
10,3,2,20,1622,14401,14321
11,3,2,20,1781,15965,15729
12,3,2,20,1202,10662,10609
13,3,2,20,1472,14902,12869
14,3,2,20,1536,16194,13546
15,3,2,20,1475,13937,12988
16,3,2,20,1736,15308,15364
17,3,2,20,1417,15415,12561
18,3,2,20,1641,15795,14460
19,3,2,20,1429,12263,12528
20,3,2,20,1348,12227,11884
21,3,2,20,1399,14183,12258
22,3,2,20,1372,12919,12081
23,3,2,20,1083,10650,9413
24,3,2,20,1159,10305,10141
25,3,2,20,1174,13801,10304
26,3,2,20,1348,12006,11794
27,3,2,20,1583,13818,13981
28,3,2,20,1719,14212,15202
29,3,2,20,1700,15938,15037
30,3,2,20,1283,11221,11343
31,3,2,20,1677,17013,14910
32,3,2,20,1557,13276,13767
33,3,2,20,1637,14423,14536
34,3,2,20,1388,12559,12194
35,3,2,20,1300,13399,11407
36,3,2,20,2318,18570,20578
37,3,2,20,1581,15613,13992
38,3,2,20,1115,10524,9788
39,3,2,20,1341,12499,11797
40,3,2,20,1167,11198,10294
41,3,2,20,1440,13315,12816
42,3,2,20,1525,13344,13499
43,3,2,20,1205,10887,10550
44,3,2,20,1198,12447,10473
45,3,2,20,1849,17041,16420
46,3,2,20,1779,17061,15778
47,3,2,20,1149,10077,10054
48,3,2,20,1233,12328,10857
49,3,2,20,1615,14122,14302
50,3,2,20,1550,13846,13598
51,3,2,20,1182,12379,10407
52,3,2,20,1820,17699,16238
53,3,2,20,1484,12937,13063
54,3,2,20,1420,13092,12498
55,3,2,20,1546,13834,13706
56,3,2,20,1714,14185,15224
57,3,2,20,1409,12427,12398
58,3,2,20,1609,13990,14263
59,3,2,20,1506,14037,13259
60,3,2,20,1304,11625,11481
61,3,2,20,1283,12479,11308
62,3,2,20,1173,15409,10333
63,3,2,20,1579,14760,13937
64,3,2,20,1325,12125,11620
65,3,2,20,1605,15221,14176
66,3,2,20,1996,16461,17750
67,3,2,20,1881,17094,16691
68,3,2,20,1395,13067,12313
69,3,2,20,1416,14351,12485
70,3,2,20,1321,11292,11602
71,3,2,20,1984,20227,17637
72,3,2,20,1465,13049,12999
73,3,2,20,1528,13711,13524
74,3,2,20,1207,10878,10630
75,3,2,20,2272,21154,20160
76,3,2,20,1621,13916,14300
77,3,2,20,1491,14224,13205
78,3,2,20,1714,17726,15187
79,3,2,20,1227,11306,10734
80,3,2,20,1517,12852,13445
81,3,2,20,1474,14194,13096
82,3,2,20,1334,16077,11738
83,3,2,20,1327,11297,11631
84,3,2,20,1611,14947,14319
85,3,2,20,1464,13677,12907
86,3,2,20,1651,15618,14624
87,3,2,20,2186,19564,19512
88,3,2,20,1396,12933,12305
89,3,2,20,1485,12855,13062
90,3,2,20,1564,16846,13823
91,3,2,20,1698,15513,14953
92,3,2,20,1952,17579,17308
93,3,2,20,1280,12082,11326
94,3,2,20,1571,14634,13910
95,3,2,20,1330,14469,11637
96,3,2,20,1578,15228,13908
97,3,2,20,1226,10677,10724
98,3,2,20,1579,14994,13943
99,3,2,20,1514,12854,13444
100,3,2,20,1516,12991,13435
101,3,2,20,1524,14101,13421
102,3,2,20,1314,10833,11659
103,3,2,20,1466,12394,12939
104,3,2,20,1757,15317,15569
105,3,2,20,1418,12651,12471
106,3,2,20,1345,13559,11888
107,3,2,20,1344,13278,11829
108,3,2,20,1280,11566,11202
109,3,2,20,1875,15956,16708
110,3,2,20,1442,12888,12805
111,3,2,20,1424,12884,12624
112,3,2,20,1655,15551,14674
113,3,2,20,1755,15197,15470
114,3,2,20,1529,14586,13553
115,3,2,20,1286,13219,11278
116,3,2,20,1627,13945,14370
117,3,2,20,1701,15575,14997
118,3,2,20,1556,13872,13692
119,3,2,20,1515,12386,13334
120,3,2,20,1367,14351,12115
121,3,2,20,1999,18228,17687
122,3,2,20,1463,13444,12859
123,3,2,20,1506,13659,13261
124,3,2,20,1343,12165,11749
125,3,2,20,1456,14169,12910
126,3,2,20,1264,11484,11095
127,3,2,20,1217,11426,10739
128,3,2,20,1549,15556,13675
129,3,2,20,1640,17009,14549
130,3,2,20,1534,13600,13516
131,3,2,20,1816,15399,16119
132,3,2,20,1919,21213,16995
133,3,2,20,1724,15879,15309
134,3,2,20,1669,14968,14847
135,3,2,20,1339,21514,11808
136,3,2,20,1188,10661,10455
137,3,2,20,1701,16266,15165
138,3,2,20,1424,12485,12474
139,3,2,20,1762,14947,15586
140,3,2,20,1675,16241,14790
141,3,2,20,1850,16865,16398
142,3,2,20,1629,14696,14392
143,3,2,20,1048,9539,9175
144,3,2,20,1307,10932,11642
145,3,2,20,1262,12148,11071
146,3,2,20,1863,18794,16595
147,3,2,20,1846,16692,16395
148,3,2,20,1680,15856,14897
149,3,2,20,1539,14072,13593
150,3,2,20,1397,12856,12334
151,3,2,20,1265,11227,11076
152,3,2,20,1456,12854,12908
153,3,2,20,1388,12547,12196
154,3,2,20,1839,17574,16299
155,3,2,20,1388,11974,12201
156,3,2,20,1282,12337,11231
157,3,2,20,1426,12546,12552
158,3,2,20,1397,12250,12286
159,3,2,20,1894,19148,16729
160,3,2,20,1688,16427,14942
161,3,2,20,1703,18389,15035
162,3,2,20,1428,13707,12575
163,3,2,20,1640,15667,14537
164,3,2,20,1954,20894,17317
165,3,2,20,1431,13289,12547
166,3,2,20,1988,17728,17632
167,3,2,20,1881,16209,16710
168,3,2,20,2062,20467,18330
169,3,2,20,1549,14385,13720
170,3,2,20,2029,21233,18001
171,3,2,20,1639,15670,14487
172,3,2,20,1468,13202,12945
173,3,2,20,1302,11476,11376
174,3,2,20,1764,15176,15652
