"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,3,1,60,1448,12962,13129
2,3,1,60,1820,19274,16503
3,3,1,60,1547,15292,13997
4,3,1,60,1279,11566,11590
5,3,1,60,1543,14873,14050
6,3,1,60,1879,15895,17056
7,3,1,60,1281,11618,11673
8,3,1,60,1282,11585,11640
9,3,1,60,1937,20213,17596
10,3,1,60,1622,14401,14734
11,3,1,60,1781,15965,16248
12,3,1,60,1202,10662,10985
13,3,1,60,1472,14902,13448
14,3,1,60,1536,16194,13912
15,3,1,60,1475,13937,13402
16,3,1,60,1736,15308,15846
17,3,1,60,1417,15415,12817
18,3,1,60,1641,15795,14898
19,3,1,60,1429,12263,12919
20,3,1,60,1348,12227,12290
21,3,1,60,1399,14183,12767
22,3,1,60,1372,12919,12533
23,3,1,60,1083,10650,9891
24,3,1,60,1159,10305,10625
25,3,1,60,1174,13801,10790
26,3,1,60,1348,12006,12333
27,3,1,60,1583,13818,14411
28,3,1,60,1719,14212,15681
29,3,1,60,1700,15938,15456
30,3,1,60,1283,11221,11649
31,3,1,60,1677,17013,15275
32,3,1,60,1557,13276,14188
33,3,1,60,1637,14423,14877
34,3,1,60,1388,12559,12561
35,3,1,60,1300,13399,11828
36,3,1,60,2318,18570,21002
37,3,1,60,1581,15613,14346
38,3,1,60,1115,10524,10220
39,3,1,60,1341,12499,12292
40,3,1,60,1167,11198,10699
41,3,1,60,1440,13315,13144
42,3,1,60,1525,13344,13824
43,3,1,60,1205,10887,11016
44,3,1,60,1198,12447,10839
45,3,1,60,1849,17041,16715
46,3,1,60,1779,17061,16175
47,3,1,60,1149,10077,10598
48,3,1,60,1233,12328,11292
49,3,1,60,1615,14122,14595
50,3,1,60,1550,13846,14139
51,3,1,60,1182,12379,10737
52,3,1,60,1820,17699,16538
53,3,1,60,1484,12937,13519
54,3,1,60,1420,13092,12950
55,3,1,60,1546,13834,14184
56,3,1,60,1714,14185,15641
57,3,1,60,1409,12427,12845
58,3,1,60,1609,13990,14583
59,3,1,60,1506,14037,13629
60,3,1,60,1304,11625,11801
61,3,1,60,1283,12479,11638
62,3,1,60,1173,15409,10754
63,3,1,60,1579,14760,14341
64,3,1,60,1325,12125,12033
65,3,1,60,1605,15221,14610
66,3,1,60,1996,16461,18093
67,3,1,60,1881,17094,17047
68,3,1,60,1395,13067,12753
69,3,1,60,1416,14351,12814
70,3,1,60,1321,11292,12096
71,3,1,60,1984,20227,18075
72,3,1,60,1465,13049,13394
73,3,1,60,1528,13711,13821
74,3,1,60,1207,10878,10981
75,3,1,60,2272,21154,20622
76,3,1,60,1621,13916,14735
77,3,1,60,1491,14224,13497
78,3,1,60,1714,17726,15611
79,3,1,60,1227,11306,11261
80,3,1,60,1517,12852,13743
81,3,1,60,1474,14194,13324
82,3,1,60,1334,16077,12016
83,3,1,60,1327,11297,12006
84,3,1,60,1611,14947,14657
85,3,1,60,1464,13677,13400
86,3,1,60,1651,15618,15024
87,3,1,60,2186,19564,19797
88,3,1,60,1396,12933,12665
89,3,1,60,1485,12855,13588
90,3,1,60,1564,16846,14342
91,3,1,60,1698,15513,15304
92,3,1,60,1952,17579,17756
93,3,1,60,1280,12082,11760
94,3,1,60,1571,14634,14246
95,3,1,60,1330,14469,12078
96,3,1,60,1578,15228,14258
97,3,1,60,1226,10677,11181
98,3,1,60,1579,14994,14352
99,3,1,60,1514,12854,13843
100,3,1,60,1516,12991,13730
101,3,1,60,1524,14101,13862
102,3,1,60,1314,10833,11925
103,3,1,60,1466,12394,13357
104,3,1,60,1757,15317,15921
105,3,1,60,1418,12651,12845
106,3,1,60,1345,13559,12292
107,3,1,60,1344,13278,12230
108,3,1,60,1280,11566,11745
109,3,1,60,1875,15956,16963
110,3,1,60,1442,12888,13188
111,3,1,60,1424,12884,12862
112,3,1,60,1655,15551,15051
113,3,1,60,1755,15197,15969
114,3,1,60,1529,14586,13928
115,3,1,60,1286,13219,11656
116,3,1,60,1627,13945,14874
117,3,1,60,1701,15575,15360
118,3,1,60,1556,13872,14148
119,3,1,60,1515,12386,13773
120,3,1,60,1367,14351,12503
121,3,1,60,1999,18228,18106
122,3,1,60,1463,13444,13324
123,3,1,60,1506,13659,13639
124,3,1,60,1343,12165,12274
125,3,1,60,1456,14169,13295
126,3,1,60,1264,11484,11514
127,3,1,60,1217,11426,11132
128,3,1,60,1549,15556,14099
129,3,1,60,1640,17009,14828
130,3,1,60,1534,13600,14039
131,3,1,60,1816,15399,16607
132,3,1,60,1919,21213,17325
133,3,1,60,1724,15879,15636
134,3,1,60,1669,14968,15157
135,3,1,60,1339,21514,12217
