"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,3,1,20,1448,12962,12942
2,3,1,20,1820,19274,16267
3,3,1,20,1547,15292,13903
4,3,1,20,1279,11566,11376
5,3,1,20,1543,14873,13920
6,3,1,20,1879,15895,16876
7,3,1,20,1281,11618,11325
8,3,1,20,1282,11585,11401
9,3,1,20,1937,20213,17290
10,3,1,20,1622,14401,14492
11,3,1,20,1781,15965,16030
12,3,1,20,1202,10662,10824
13,3,1,20,1472,14902,13159
14,3,1,20,1536,16194,13823
15,3,1,20,1475,13937,13156
16,3,1,20,1736,15308,15444
17,3,1,20,1417,15415,12725
18,3,1,20,1641,15795,14698
19,3,1,20,1429,12263,12870
20,3,1,20,1348,12227,12050
21,3,1,20,1399,14183,12523
22,3,1,20,1372,12919,12190
23,3,1,20,1083,10650,9647
24,3,1,20,1159,10305,10317
25,3,1,20,1174,13801,10517
26,3,1,20,1348,12006,11941
27,3,1,20,1583,13818,14172
28,3,1,20,1719,14212,15496
29,3,1,20,1700,15938,15280
30,3,1,20,1283,11221,11444
31,3,1,20,1677,17013,14931
32,3,1,20,1557,13276,13932
33,3,1,20,1637,14423,14698
34,3,1,20,1388,12559,12400
35,3,1,20,1300,13399,11642
36,3,1,20,2318,18570,20769
37,3,1,20,1581,15613,14125
38,3,1,20,1115,10524,9957
39,3,1,20,1341,12499,11915
40,3,1,20,1167,11198,10435
41,3,1,20,1440,13315,12925
42,3,1,20,1525,13344,13741
43,3,1,20,1205,10887,10724
44,3,1,20,1198,12447,10710
45,3,1,20,1849,17041,16456
46,3,1,20,1779,17061,15893
47,3,1,20,1149,10077,10271
48,3,1,20,1233,12328,10989
49,3,1,20,1615,14122,14426
50,3,1,20,1550,13846,13854
51,3,1,20,1182,12379,10573
52,3,1,20,1820,17699,16317
53,3,1,20,1484,12937,13263
54,3,1,20,1420,13092,12624
55,3,1,20,1546,13834,13910
56,3,1,20,1714,14185,15350
57,3,1,20,1409,12427,12567
58,3,1,20,1609,13990,14405
