"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
1,13154,1,59,1448,12962,13285
2,29598,1,35,1820,19274,16667
3,8250,1,60,1547,15292,14169
4,5591,1,40,1279,11566,11621
5,18575,2,39,1543,14873,13863
6,26688,2,42,1879,15895,17013
7,3605,1,53,1281,11618,11645
8,4475,1,31,1282,11585,11586
9,20912,2,45,1937,20213,17517
10,20690,2,49,1622,14401,14683
11,22269,2,45,1781,15965,16182
12,1131,1,36,1202,10662,10873
13,9471,1,46,1472,14902,13396
14,19502,2,37,1536,16194,13830
15,9405,2,35,1475,13937,13305
16,26769,2,40,1736,15308,15750
17,17185,2,28,1417,15415,12647
18,23165,2,59,1641,15795,14896
19,9293,1,46,1429,12263,13001
20,9497,1,45,1348,12227,12265
21,17914,1,56,1399,14183,12819
22,11610,1,50,1372,12919,12521
23,630,1,40,1083,10650,9899
24,1536,1,38,1159,10305,10455
25,2010,1,56,1174,13801,10672
26,3953,1,46,1348,12006,12273
27,12747,1,53,1583,13818,14462
28,22807,2,53,1719,14212,15664
29,28051,2,34,1700,15938,15356
30,3505,1,51,1283,11221,11699
31,25144,1,42,1677,17013,15342
32,22481,2,48,1557,13276,14081
33,22614,2,55,1637,14423,14818
34,13042,1,52,1388,12559,12752
35,5190,1,50,1300,13399,11811
36,12183,2,28,2318,18570,20709
37,18736,2,40,1581,15613,14232
38,553,1,25,1115,10524,10050
39,7401,1,52,1341,12499,12256
40,1569,1,27,1167,11198,10556
41,13166,1,58,1440,13315,13230
42,18641,1,58,1525,13344,13985
43,2287,1,33,1205,10887,10867
44,4191,1,30,1198,12447,10770
45,28507,1,32,1849,17041,16821
46,27372,1,47,1779,17061,16309
47,322,1,34,1149,10077,10351
48,1879,1,39,1233,12328,11123
49,22467,2,45,1615,14122,14682
50,15568,1,58,1550,13846,14266
51,773,1,50,1182,12379,10770
52,28519,2,50,1820,17699,16585
53,12356,1,52,1484,12937,13591
54,9348,2,40,1420,13092,12718
55,14111,2,33,1546,13834,13796
56,18913,2,40,1714,14185,15411
57,12482,2,29,1409,12427,12535
58,20193,2,45,1609,13990,14511
59,14170,1,50,1506,14037,13830
60,4557,1,29,1304,11625,11721
61,4226,1,40,1283,12479,11642
62,797,1,29,1173,15409,10522
63,19199,2,40,1579,14760,14216
64,6346,1,54,1325,12125,12100
65,30874,1,40,1605,15221,14796
66,29269,2,27,1996,16461,17986
67,29036,1,45,1881,17094,17229
68,11967,2,34,1395,13067,12412
69,12162,2,33,1416,14351,12650
70,7571,1,51,1321,11292,12005
71,28639,1,31,1984,20227,18082
72,11015,2,46,1465,13049,13177
73,16899,2,33,1528,13711,13721
74,2842,1,40,1207,10878,10948
75,25647,2,37,2272,21154,20447
76,13607,2,32,1621,13916,14447
77,15193,1,59,1491,14224,13637
78,26068,1,57,1714,17726,15834
79,9009,1,49,1227,11306,11238
80,14986,1,56,1517,12852,13921
81,13321,2,22,1474,14194,13131
82,7263,1,48,1334,16077,12170
83,6627,2,24,1327,11297,11803
84,10753,2,37,1611,14947,14389
85,11987,2,24,1464,13677,13065
86,19258,2,43,1651,15618,14885
87,31331,2,26,2186,19564,19729
88,9732,1,47,1396,12933,12791
89,11755,1,46,1485,12855,13598
90,27809,1,25,1564,16846,14232
91,22829,2,49,1698,15513,15411
92,22646,2,48,1952,17579,17579
93,4424,1,40,1280,12082,11514
94,22013,2,46,1571,14634,14326
95,4444,1,32,1330,14469,11887
96,21522,2,46,1578,15228,14199
97,1866,1,29,1226,10677,11083
98,9734,1,48,1579,14994,14348
99,18842,1,58,1514,12854,13877
100,19077,2,43,1516,12991,13658
101,11024,1,46,1524,14101,13840
102,5530,1,39,1314,10833,11927
103,17000,1,57,1466,12394,13494
104,31014,1,48,1757,15317,16145
105,12700,1,55,1418,12651,12949
106,7645,1,48,1345,13559,12310
107,4885,1,35,1344,13278,12135
108,4289,2,39,1280,11566,11381
109,26658,2,27,1875,15956,16910
110,12055,2,45,1442,12888,12922
111,16358,2,53,1424,12884,12774
112,30610,1,50,1655,15551,15273
113,31199,2,27,1755,15197,15788
114,17893,2,39,1529,14586,13750
115,5587,1,39,1286,13219,11674
116,20547,2,46,1627,13945,14675
117,24235,2,59,1701,15575,15500
118,14208,1,55,1556,13872,14278
119,13809,2,27,1515,12386,13569
120,1873,1,44,1367,14351,12457
121,29968,1,33,1999,18228,18201
122,17794,1,56,1463,13444,13466
123,15402,2,37,1506,13659,13538
124,7147,1,49,1343,12165,12262
125,13951,2,32,1456,14169,13044
126,8491,1,53,1264,11484,11606
127,2944,1,36,1217,11426,10926
128,17250,2,33,1549,15556,13856
129,22960,2,57,1640,17009,14897
130,8610,1,43,1534,13600,14028
131,29801,2,31,1816,15399,16386
132,28230,2,42,1919,21213,17302
133,20526,2,40,1724,15879,15564
134,17281,2,32,1669,14968,14933
135,4183,1,31,1339,21514,12033
136,1510,1,35,1188,10661,10727
137,22659,2,47,1701,16266,15393
138,8557,1,52,1424,12485,12937
139,28612,1,37,1762,14947,16074
140,23207,2,50,1675,16241,15125
141,31365,1,43,1850,16865,16912
142,22511,2,49,1629,14696,14760
143,145,1,36,1048,9539,9483
144,5555,1,45,1307,10932,11890
145,4165,1,41,1262,12148,11420
146,26669,2,36,1863,18794,16868
147,28092,2,37,1846,16692,16675
148,22451,1,60,1680,15856,15452
149,5725,1,41,1539,14072,13869
150,10965,1,46,1397,12856,12724
151,4540,1,42,1265,11227,11569
152,10178,2,35,1456,12854,13035
153,10207,1,49,1388,12547,12655
154,24268,2,58,1839,17574,16683
155,12130,1,46,1388,11974,12668
156,5088,1,31,1282,12337,11606
157,9879,2,42,1426,12546,12740
158,9779,2,29,1397,12250,12435
159,28991,1,37,1894,19148,17333
160,25546,1,45,1688,16427,15525
161,30137,1,58,1703,18389,15730
162,25740,2,24,1428,13707,12788
163,21918,2,50,1640,15667,14828
164,28126,2,43,1954,20894,17700
165,15271,2,26,1431,13289,12840
166,28073,1,27,1988,17728,18125
167,21856,2,49,1881,16209,16974
168,28310,2,48,2062,20467,18758
169,19456,2,46,1549,14385,13971
170,27385,2,48,2029,21233,18414
171,23240,2,50,1639,15670,14850
172,14483,1,55,1468,13202,13459
173,4144,1,25,1302,11476,11701
174,26279,1,34,1764,15176,16117
175,25868,2,45,1951,19808,17697
176,8896,1,45,1412,11708,12893
177,16123,2,44,1435,12822,12990
178,897,1,31,1120,10521,10015
179,20220,2,45,1541,14645,13937
180,8186,1,51,1436,12841,13137
181,14884,2,36,1500,13122,13454
182,20539,2,42,1544,14127,14002
183,10635,2,31,1399,12638,12444
184,15415,2,32,1567,13909,14051
185,6259,1,36,1321,11633,12010
186,3670,1,41,1249,11242,11266
187,27165,2,39,1649,16488,14962
188,18182,1,56,1532,13877,14066
189,16470,2,25,1376,14363,12295
190,2515,1,30,1212,10409,10966
191,16562,2,23,1426,15074,12704
192,3936,1,36,1272,11844,11478
193,2440,1,27,1220,13761,10979
194,11487,1,49,1423,13597,12975
195,686,1,46,1151,10348,10389
196,15465,1,56,1590,14162,14661
197,26783,2,30,1870,16555,16910
198,4702,1,39,1292,11788,11741
199,25993,2,57,1949,18524,17693
200,10629,2,29,1390,13537,12362
201,14688,2,31,1546,13539,13851
202,18585,2,37,1541,13066,13900
203,1748,1,30,1297,13398,11653
204,17866,2,39,1541,15131,13829
205,6977,1,49,1318,11655,12013
206,29719,1,28,1856,18154,16895
207,12152,1,58,1460,13109,13286
208,13026,1,51,1325,12377,12182
209,26738,1,40,1413,12909,12959
210,30591,1,24,1866,16123,16951
211,18402,2,56,1460,13195,13320
212,30081,2,34,1555,12928,14027
213,3980,1,24,1345,11382,12061
214,20398,2,43,1717,15699,15494
215,10091,1,45,1509,16084,13663
216,837,1,30,1155,10522,10390
217,8741,1,34,1326,13160,12003
218,16350,1,58,1398,13207,12858
219,13836,2,38,1534,13613,13717
220,12901,2,51,1467,13126,13215
221,6719,1,48,1366,13819,12467
222,15063,2,50,1536,15645,13859
223,11644,2,27,1490,12396,13234
224,3946,1,38,1243,14632,11208
225,14319,1,50,1479,17430,13508
226,9888,2,26,1332,11612,11926
227,5055,1,31,1267,11717,11441
228,8002,2,24,1244,12030,11026
229,26267,1,46,1953,20553,17773
230,4428,1,30,1257,10817,11385
231,2767,1,38,1298,11362,11715
232,13151,1,52,1475,14051,13416
233,19111,2,35,1540,15126,13898
234,1645,1,24,1314,13856,11758
235,20312,2,44,1585,13748,14286
236,18146,2,36,1444,13871,12941
237,6129,2,25,1272,11433,11272
238,17955,2,38,1550,13459,13988
239,28019,1,32,2035,21359,18562
240,23273,2,53,1675,15420,15227
241,19247,2,49,1491,15534,13396
242,16454,1,55,1575,15484,14404
243,22437,2,54,1728,16623,15797
244,30181,1,27,1939,17877,17620
245,9923,1,51,1355,11460,12363
246,8878,1,50,1378,13709,12663
247,6246,1,37,1426,12553,12923
248,24032,2,54,1615,14349,14669
249,4073,1,53,1340,12090,12079
250,19918,2,41,1536,13164,13845
251,10754,2,34,1444,12990,12921
252,17382,2,30,1426,13859,12824
253,21123,2,54,1614,15557,14552
254,8439,1,45,1270,10872,11554
255,238,1,25,1066,9832,9658
256,27742,1,50,1974,18786,18024
257,11838,2,43,1562,13500,14004
258,5351,1,38,1344,11674,12183
259,13677,1,58,1460,12979,13411
260,29920,1,55,1579,13834,14490
261,12136,1,57,1409,11904,12918
262,5799,1,28,1429,15430,12845
263,14663,2,47,1436,13715,12924
264,26002,1,56,1882,18047,17264
265,27187,2,46,2067,19825,18705
266,9740,2,41,1398,12095,12487
267,10741,2,27,1317,13310,11765
268,21187,2,57,1606,13898,14567
269,1066,1,36,1096,10247,9909
270,6070,1,55,1793,17510,16305
271,5224,1,38,1313,14774,11830
272,8288,1,42,1385,14215,12515
273,17631,1,55,1550,13724,14267
274,6590,1,48,1296,11479,11835
275,10792,1,55,1367,12497,12522
276,27176,1,42,1855,21090,16986
277,10719,2,29,1365,12742,12184
278,17474,2,49,1562,13112,14120
279,27846,2,27,1628,12857,14641
280,10991,1,54,1502,13812,13717
281,5077,2,32,1270,11050,11278
282,14876,1,52,1463,13373,13392
283,3409,1,36,1309,11555,11793
284,24053,2,50,1683,15356,15290
285,5910,1,41,1352,12079,12237
286,5498,1,46,1337,11306,12087
287,12578,2,38,1413,13680,12646
288,14660,1,50,1480,20227,13487
289,3654,1,35,1537,14459,13843
290,26508,2,30,1920,16452,17325
291,7017,1,52,1201,10563,10983
292,11469,2,49,1447,12119,13035
293,21936,2,51,1626,14611,14657
294,8849,2,24,1380,13012,12223
295,1529,1,41,1215,10352,11006
296,13155,2,31,1462,13199,13061
297,1045,1,45,1181,10265,10742
298,22705,2,60,1622,13232,14707
299,3881,1,45,1278,11930,11558
300,16880,2,30,1691,14335,15192
301,1975,1,35,1163,10183,10458
302,3026,1,29,1223,10182,10955
303,28758,1,27,1592,15416,14598
304,8876,2,30,1327,13170,11731
305,1896,1,27,1214,11399,10919
306,22286,2,48,1696,13520,15361
307,8093,2,43,1237,13021,10968
308,511,1,32,1139,11398,10246
309,14486,1,56,1523,13142,14048
310,12723,2,30,1418,12523,12652
311,6177,1,40,1273,11117,11546
312,18205,2,43,1607,14315,14455
313,2145,1,30,1338,13063,11958
314,31265,1,55,1566,14359,14401
315,4266,2,27,1264,10726,11091
316,11746,1,51,1467,14278,13405
317,19500,2,42,1619,13306,14600
318,25959,2,24,1892,18377,17021
319,18764,1,60,1568,17354,14388
320,4372,1,36,1238,11414,11152
321,29830,1,51,1603,14712,14658
322,16950,2,24,1535,16174,13627
323,12922,1,52,1503,16526,13721
324,1966,1,33,1295,12538,11661
325,11165,1,51,1555,17253,14174
326,6892,1,54,1331,11981,12042
327,16979,2,42,1487,13235,13429
328,14906,2,49,1488,15008,13387
329,23226,2,55,1652,14109,14994
330,27727,2,28,1953,20939,17565
331,18792,2,44,1596,14993,14322
332,21195,2,50,1559,15217,14103
333,20547,2,46,1627,13945,14675
334,6973,2,29,1377,12441,12294
335,13617,2,31,1584,14054,14284
336,12513,1,52,1428,13411,13051
337,23118,2,53,1643,15969,14897
338,17431,1,55,1494,13753,13813
339,22562,2,45,1595,14841,14478
